Date,Time,Open,Close,High,Low,Volume
2010.03.18,00:00,1.37344,1.37401,1.35860,1.36062,28443
2010.03.19,00:00,1.36065,1.36260,1.35026,1.35290,25846
2010.03.22,00:00,1.35304,1.35680,1.34629,1.35656,26549
2010.03.23,00:00,1.35654,1.35688,1.34756,1.34937,28985
2010.03.24,00:00,1.34939,1.34987,1.33050,1.33224,36736
2010.03.25,00:00,1.33229,1.33866,1.32667,1.32855,35718
2010.03.26,00:00,1.32853,1.34245,1.32671,1.34085,32892
2010.03.29,00:00,1.34714,1.35058,1.34184,1.34817,26823
2010.03.30,00:00,1.34815,1.35369,1.33949,1.34125,27805
2010.03.31,00:00,1.34121,1.35475,1.33837,1.35101,30201
2010.04.01,00:00,1.35086,1.35907,1.34602,1.35877,27369
2010.04.02,00:00,1.35875,1.35899,1.34749,1.35019,10721
2010.04.05,00:00,1.34964,1.35376,1.34600,1.34836,13722
2010.04.06,00:00,1.34833,1.34961,1.33547,1.33980,27239
2010.04.07,00:00,1.33983,1.34077,1.33258,1.33424,26293
2010.04.08,00:00,1.33426,1.33655,1.32821,1.33598,29094
2010.04.09,00:00,1.33592,1.34980,1.33414,1.34980,26722
2010.04.12,00:00,1.36552,1.36911,1.35656,1.35903,31061
2010.04.13,00:00,1.35913,1.36268,1.35444,1.36120,28576
2010.04.14,00:00,1.36126,1.36783,1.35953,1.36528,30838
2010.04.15,00:00,1.36525,1.36657,1.35209,1.35713,28866
2010.04.16,00:00,1.35706,1.35844,1.34720,1.35009,33153
2010.04.19,00:00,1.34690,1.34965,1.34201,1.34884,27598
2010.04.20,00:00,1.34873,1.35223,1.34282,1.34336,26847
2010.04.21,00:00,1.34345,1.34467,1.33578,1.33886,28574
2010.04.22,00:00,1.33883,1.34209,1.32573,1.32931,31711
2010.04.23,00:00,1.32927,1.33988,1.32015,1.33821,37911
2010.04.26,00:00,1.33468,1.33963,1.32908,1.33811,28855
2010.04.27,00:00,1.33802,1.34145,1.31654,1.31745,40536
2010.04.28,00:00,1.31735,1.32657,1.31142,1.32187,44492
2010.04.29,00:00,1.32186,1.32782,1.31837,1.32324,32213
2010.04.30,00:00,1.32331,1.33418,1.32233,1.32927,29942
2010.05.03,00:00,1.33559,1.33593,1.31538,1.31934,21331
2010.05.04,00:00,1.31928,1.32132,1.29810,1.29863,32282
2010.05.05,00:00,1.29858,1.29956,1.28031,1.28130,41710
2010.05.06,00:00,1.28133,1.28559,1.25194,1.26188,67102
2010.05.07,00:00,1.26176,1.27976,1.25855,1.27503,86578
2010.05.10,00:00,1.29170,1.30940,1.27584,1.27866,94659
2010.05.11,00:00,1.27861,1.28022,1.26564,1.26611,81108
2010.05.12,00:00,1.26603,1.27384,1.26046,1.26128,69880
2010.05.13,00:00,1.26126,1.26838,1.25177,1.25333,59662
2010.05.14,00:00,1.25332,1.25753,1.23529,1.23560,73329
2010.05.17,00:00,1.23411,1.24135,1.22336,1.23941,74123
2010.05.18,00:00,1.23937,1.24437,1.21608,1.22019,83542
2010.05.19,00:00,1.22022,1.24231,1.21431,1.24135,99732
2010.05.20,00:00,1.24140,1.25969,1.22956,1.24846,103146
2010.05.21,00:00,1.24853,1.26713,1.24539,1.25689,98160
2010.05.24,00:00,1.25360,1.25617,1.23437,1.23703,68496
2010.05.25,00:00,1.23705,1.23717,1.21772,1.23442,87399
2010.05.26,00:00,1.23440,1.23873,1.21664,1.21746,77221
2010.05.27,00:00,1.21753,1.23936,1.21533,1.23602,84495
2010.05.28,00:00,1.23597,1.24521,1.22639,1.22704,74150
2010.05.31,00:00,1.22675,1.23337,1.22587,1.23041,36408
2010.06.01,00:00,1.23043,1.23534,1.21109,1.22271,79812
2010.06.02,00:00,1.22338,1.22729,1.21747,1.22476,75038
2010.06.03,00:00,1.22475,1.23258,1.21518,1.21618,69796
2010.06.04,00:00,1.21608,1.22150,1.19550,1.19642,70773
2010.06.07,00:00,1.19279,1.19908,1.18757,1.19227,74743
2010.06.08,00:00,1.19223,1.20080,1.19017,1.19712,72058
2010.06.09,00:00,1.19711,1.20727,1.19236,1.19784,63463
2010.06.10,00:00,1.19779,1.21411,1.19564,1.21263,71003
2010.06.11,00:00,1.21226,1.21519,1.20448,1.21105,61364
2010.06.14,00:00,1.21206,1.22976,1.21154,1.22190,55361
2010.06.15,00:00,1.22194,1.23486,1.21677,1.23310,60783
2010.06.16,00:00,1.23319,1.23528,1.22542,1.23085,54526
2010.06.17,00:00,1.23079,1.24119,1.22415,1.23870,58503
2010.06.18,00:00,1.23871,1.24160,1.23528,1.23851,42680
2010.06.21,00:00,1.24575,1.24666,1.23033,1.23106,55206
2010.06.22,00:00,1.23111,1.23535,1.22514,1.22691,58034
2010.06.23,00:00,1.22682,1.23428,1.22085,1.23099,55158
2010.06.24,00:00,1.23097,1.23869,1.22611,1.23319,54916
2010.06.25,00:00,1.23315,1.23944,1.22533,1.23665,53648
